project	bugNumber	assignmentDate	ourTopRecommendedRealAssignee	ourTopRecommendedRealAssigneeRank	totalCommunityMembers	realAssigneesTillNow
adobe/brackets	301	Fri Mar 09 05:09:56 MST 2012	jlondon	1	864	jlondon
adobe/brackets	294	Fri Mar 09 05:11:34 MST 2012	jlondon	1	864	jlondon
adobe/brackets	288	Fri Mar 09 05:14:51 MST 2012	jlondon	1	864	jlondon
adobe/brackets	276	Fri Mar 09 05:16:05 MST 2012	jlondon	1	864	jlondon
adobe/brackets	274	Fri Mar 09 05:35:46 MST 2012	jlondon	1	864	jlondon
adobe/brackets	268	Fri Mar 09 05:36:49 MST 2012	jlondon	1	864	jlondon
adobe/brackets	267	Fri Mar 09 05:37:31 MST 2012	jlondon	1	864	jlondon
adobe/brackets	265	Fri Mar 09 05:39:23 MST 2012	jlondon	1	864	jlondon
adobe/brackets	181	Fri Mar 09 05:42:17 MST 2012	jlondon	1	864	jlondon
adobe/brackets	158	Fri Mar 09 05:44:46 MST 2012	jlondon	1	864	jlondon
adobe/brackets	143	Fri Mar 09 05:46:33 MST 2012	jlondon	1	864	jlondon
adobe/brackets	117	Fri Mar 09 05:47:22 MST 2012	jlondon	1	864	jlondon
